test_loss,test_correct,test_dataset_length,test_accuracy,train_loss,train_correct,train_dataset_length,train_accuracy
0.0009834637701511384,6619,10000,66.19,0.014281233406066894,34102,50000,68.204
0.0010176376700401306,6524,10000,65.24,0.014544680831432342,33735,50000,67.47
0.0009325568914413452,6692,10000,66.92,0.013585416951179504,34802,50000,69.604
0.0009274208605289459,6795,10000,67.95,0.013233531593084335,35272,50000,70.544
0.0009421048164367676,6760,10000,67.6,0.013413130468130112,35008,50000,70.016
0.0008999500334262848,6835,10000,68.35,0.012730418881177902,35604,50000,71.208
0.0008905404925346374,6930,10000,69.3,0.012725707300901412,35872,50000,71.744
0.0009224888265132904,6750,10000,67.5,0.012924515791535378,35576,50000,71.152
0.0008824979662895203,6932,10000,69.32,0.012603575640320778,35953,50000,71.906
0.0008367400407791138,7057,10000,70.57,0.011735681377649307,36695,50000,73.39
0.0008759368419647217,6999,10000,69.99,0.012045642842054368,36540,50000,73.08
0.0008452113389968872,7081,10000,70.81,0.01184506288766861,36707,50000,73.414
0.0008520864963531494,7052,10000,70.52,0.011868271896839143,36911,50000,73.822
0.0008671150326728821,7005,10000,70.05,0.01220315815091133,36292,50000,72.584
0.0007867770850658416,7321,10000,73.21,0.010854941644668579,37946,50000,75.892
0.0008097784399986267,7294,10000,72.94,0.011144829853773117,37614,50000,75.228
0.0008003922045230865,7238,10000,72.38,0.011012504005432128,37819,50000,75.638
0.0007843841731548309,7260,10000,72.6,0.010657811030745507,38139,50000,76.278
0.0007731187224388123,7378,10000,73.78,0.010832564272880554,38014,50000,76.028
0.000764871746301651,7393,10000,73.93,0.010428696124553681,38433,50000,76.866
0.0008371070921421051,7176,10000,71.76,0.01167913926422596,37131,50000,74.262
0.0007888626337051391,7303,10000,73.03,0.010783271940350532,38133,50000,76.266
0.0007301423311233521,7482,10000,74.82,0.009972444530129432,38938,50000,77.876
0.0007836788058280945,7297,10000,72.97,0.01084223502278328,38104,50000,76.208
0.000782795786857605,7342,10000,73.42,0.010772564277648927,38105,50000,76.21
0.0007372385084629059,7438,10000,74.38,0.009987678785324097,38594,50000,77.188
0.0007707023799419403,7394,10000,73.94,0.010626655020713806,38252,50000,76.504
0.0007891412317752838,7347,10000,73.47,0.010818434686660766,38133,50000,76.266
0.0006937875151634216,7602,10000,76.02,0.009438267028927803,39565,50000,79.13
0.0007366214632987976,7482,10000,74.82,0.010089119381904602,38893,50000,77.786
0.0007231761634349823,7543,10000,75.43,0.009775408215522766,39236,50000,78.472
0.0007113932371139527,7626,10000,76.26,0.009433455517292022,39679,50000,79.358
0.0007549775421619415,7496,10000,74.96,0.010112931570410728,39002,50000,78.004
